blue_wins,first_blood,dragons,heralds,experience,kills,assists,towers_destroyed,wards_placed,wards_destroyed,cs_per_min,gold_per_min,avg_level,elite_monsters,total_jungle_minions_killed
0,0,-1,0,230,0,-1,0,58,2,-1.5,-100.40000000000009,0,-1,-10
0,1,0,1,-635,0,-2,0,16,1,-3.1000000000000014,-150.5,0,1,-12
1,1,1,0,1625,5,11,0,2,1,-1.1000000000000014,252.5999999999999,0.20000000000000018,1,-3
0,1,1,0,-413,2,2,0,40,2,-0.6000000000000014,132,0,1,13
0,0,-1,0,-85,2,3,0,-7,1,-0.3000000000000007,60.799999999999955,0,-1,-12
0,0,-1,1,-1363,-3,-3,0,-18,-1,-2.3000000000000007,-168.29999999999995,-0.40000000000000036,0,4
0,1,1,0,-2698,-2,1,0,3,0,-3.6999999999999993,-167.20000000000005,-0.6000000000000005,1,-13
1,1,1,1,59,2,1,0,15,-1,-2.5,-10.800000000000182,0.20000000000000018,2,11
0,0,0,-1,-3280,-6,-4,-1,37,1,-5.199999999999999,-492,-0.8000000000000007,-1,-20
1,1,1,1,1490,2,0,0,2,2,3.1000000000000014,146.29999999999995,0.20000000000000018,2,0
1,0,1,0,721,4,13,0,6,-3,1.5999999999999979,52.700000000000045,0.40000000000000036,1,-19
0,0,1,-1,-2454,0,7,0,-1,0,-3.700000000000003,-96.40000000000009,-0.40000000000000036,0,0
1,0,1,0,192,1,-1,0,2,3,2.8000000000000007,70.5,0,1,-3
1,0,1,0,306,0,-2,0,1,-1,-0.1999999999999993,90.79999999999995,0,1,11
0,0,1,-1,-3119,-7,-11,0,-7,0,1,-368.5,-0.8000000000000007,0,-14
0,1,-1,0,-4682,-4,-4,0,48,11,-2.200000000000003,-368.9000000000001,-0.7999999999999998,-1,-34
0,1,-1,-1,803,-2,-4,0,-16,0,0.3000000000000007,-76.39999999999986,0.40000000000000036,-2,27
1,1,-1,0,2162,0,-4,1,-5,1,11.2,354.5,0.6000000000000005,-1,26
1,1,-1,0,747,1,4,0,-1,4,4.399999999999999,162.5999999999999,-0.20000000000000018,-1,-14
0,1,1,0,-875,-2,-7,0,-4,2,1.3999999999999986,-137,-0.40000000000000036,1,17
0,0,-1,0,-412,-2,-3,0,-3,0,-2.200000000000003,-150.5999999999999,-0.40000000000000036,-1,-1
0,0,-1,1,2207,5,5,0,3,0,2.6999999999999993,277.4000000000001,0.6000000000000005,0,-3
1,1,1,-1,410,-5,-12,0,2,-3,2,-158.5999999999999,0.20000000000000018,0,0
1,1,1,0,2984,6,5,0,16,0,-0.8000000000000007,341.29999999999995,0.6000000000000005,1,8
1,1,0,0,-1412,-3,-4,0,2,-2,-0.40000000000000213,-182,-0.40000000000000036,0,-1
0,0,1,-1,-682,0,2,0,0,2,3.099999999999998,-57.59999999999991,0,0,-23
0,0,0,-1,-1305,-1,-1,0,23,-1,0.09999999999999787,-21.09999999999991,-0.40000000000000036,-1,6
1,1,-1,1,2884,8,8,0,0,-1,3.599999999999998,408.29999999999995,0.6000000000000005,0,-15
1,1,0,0,466,4,11,0,0,-1,0.6999999999999993,208.10000000000014,0,0,-13
0,1,0,0,-19,1,1,0,-1,3,2.3000000000000007,45.299999999999955,-0.20000000000000018,0,2
0,0,-1,1,-799,-1,-1,0,-20,-4,0.8000000000000007,-149.0999999999999,-0.20000000000000018,0,-6
1,0,-1,0,233,0,0,0,-3,1,-1.8999999999999986,-35.5,0,-1,8
1,1,-1,0,87,0,1,0,3,-2,1.8000000000000007,-5.2999999999999545,0,-1,-8
0,0,-1,0,-1441,-4,-2,0,19,-3,-4.099999999999998,-286.5,-0.20000000000000018,-1,8
1,1,1,-1,2355,4,3,0,-38,0,7.400000000000002,500.79999999999995,0.6000000000000005,0,19
0,1,-1,-1,-660,0,-2,0,-6,-1,-3.599999999999998,-83.69999999999982,0,-2,0
1,1,1,0,648,1,-2,0,-2,2,2.8000000000000007,6.2999999999999545,0.40000000000000036,1,0
0,1,-1,0,-1966,-2,-3,0,50,-2,-3.1999999999999993,-134.19999999999982,-0.6000000000000005,-1,8
1,0,1,1,142,2,9,0,2,2,-3.6999999999999993,51,0,2,4
0,1,1,0,-878,0,4,0,8,-1,0.6999999999999993,96.5,-0.20000000000000018,1,-8
1,1,-1,1,-179,0,2,0,3,2,1.6000000000000014,191.70000000000005,-0.40000000000000036,0,3
1,0,0,1,1667,0,3,0,-14,0,3.8000000000000007,150.69999999999982,0.20000000000000018,1,1
0,0,1,0,-1135,-4,-1,0,-5,0,-0.3999999999999986,-178.70000000000005,0,1,4
0,0,0,0,1397,1,-1,0,-1,0,5.199999999999999,81.5,0.40000000000000036,0,-3
0,0,-1,0,-2532,-2,-4,0,-2,-1,-4.099999999999998,-186.0999999999999,-0.40000000000000036,-1,-21
0,1,0,1,701,2,1,0,-3,2,3.3000000000000007,176.5,0.40000000000000036,1,3
0,1,-1,1,269,0,0,0,-2,3,3.5,54,0,0,-14
0,0,-1,0,-853,-5,-2,0,-70,-2,1.3000000000000007,-124.90000000000009,-0.40000000000000036,-1,17
0,0,0,0,-2547,-5,-5,0,21,1,-1,-271.0999999999999,-0.40000000000000036,0,-21
1,1,0,0,1754,4,1,0,7,0,4.699999999999999,255.0999999999999,0.20000000000000018,0,2
0,0,-1,0,-152,-3,-6,0,16,0,-1.8000000000000007,-120.79999999999995,0,-1,13
0,0,-1,0,-1592,-2,-4,0,-4,0,-2.3000000000000007,-237.29999999999995,-0.20000000000000018,-1,-29
1,0,1,1,2497,4,1,0,-3,1,-0.3000000000000007,281.20000000000005,0.20000000000000018,2,15
0,0,-1,0,-2759,-5,-8,0,-7,-1,-4.5,-386.4000000000001,-0.6000000000000005,-1,-4
1,0,1,-1,-1156,-2,-10,0,-22,1,0.6999999999999993,-141.9000000000001,-0.20000000000000018,0,4
1,1,-1,0,1225,4,7,0,0,0,1.3000000000000007,137.4000000000001,0.40000000000000036,-1,-8
1,0,-1,0,3357,4,6,0,-2,3,4.300000000000001,302.5999999999999,0.5999999999999996,-1,0
1,1,1,0,1804,4,0,0,22,-15,0.5,139.80000000000018,0.6000000000000005,1,-16
0,1,0,0,-3287,-5,-4,0,0,0,-1.6000000000000014,-315.60000000000014,-0.40000000000000036,0,-14
1,0,1,-1,1699,5,7,0,22,-1,1.3999999999999986,248,0.40000000000000036,0,20
0,0,-1,1,-2467,-9,-13,0,2,-4,-2.900000000000002,-358.0999999999999,-0.40000000000000036,0,21
1,1,1,1,1378,5,9,0,20,1,-1.1999999999999993,291.10000000000014,0.40000000000000036,2,3
0,0,-1,1,-1370,-3,-2,0,0,-1,-1.7000000000000028,-124.5,-0.20000000000000018,0,-3
0,0,0,0,-73,-3,-8,0,-7,2,0.8999999999999986,-78,0,0,17
0,1,-1,0,-307,-2,-1,0,-6,-1,-0.5,-45.90000000000009,-0.39999999999999947,-1,12
1,1,1,0,-1675,2,7,0,3,1,-1.4000000000000021,-25.09999999999991,-0.40000000000000036,1,-12
1,1,1,0,1346,3,-1,0,-1,-1,5.300000000000001,264.20000000000005,0.40000000000000036,1,-10
0,1,-1,0,-1059,0,0,0,0,3,0,-33.59999999999991,-0.40000000000000036,-1,-31
1,0,-1,0,57,-3,-2,0,-5,1,-3.5,-194.20000000000005,0.20000000000000018,-1,20
1,1,1,-1,5033,10,4,0,-15,2,10.400000000000002,600,1,0,-20
0,1,-1,1,1300,-5,-3,0,4,1,9.599999999999998,128.5,0.40000000000000036,0,7
0,1,1,0,-498,-1,0,0,-4,4,0.7999999999999972,-41.5,-0.40000000000000036,1,-4
1,0,-1,0,-1585,-4,-3,0,-5,1,0.5,-175.0999999999999,-0.20000000000000018,-1,-8
1,0,1,1,154,1,-6,0,1,0,5.600000000000001,53.40000000000009,0,2,-23
1,0,1,1,-2023,-3,-3,0,3,-2,-5.199999999999999,-202.20000000000005,-0.40000000000000036,2,20
0,0,-1,0,-172,-3,-3,0,-37,-1,5,17.600000000000136,0.20000000000000018,-1,-9
1,1,0,0,2825,6,2,0,23,0,3.6999999999999993,380.3000000000002,0.5999999999999996,0,-6
0,0,-1,0,-4786,-10,-9,0,0,-2,-5.100000000000001,-566.8,-1,-1,2
1,0,1,0,1493,-1,-3,0,2,-1,6.199999999999999,52.700000000000045,0.20000000000000018,1,10
0,1,1,-1,2410,5,9,0,-1,5,-2.1999999999999993,338.5999999999999,0.7999999999999998,0,-14
0,1,0,0,187,-3,-2,0,5,-1,0.6999999999999993,-36.700000000000045,-0.40000000000000036,0,3
1,0,-1,0,2080,3,5,0,-2,5,0.40000000000000213,121.40000000000009,0.40000000000000036,-1,-27
1,1,-1,0,917,1,-1,0,10,-2,0.5,95.90000000000009,0,-1,20
1,0,0,-1,1209,0,0,-1,4,2,1.0999999999999979,12,0.6000000000000005,-1,7
1,0,1,0,661,1,-1,0,6,2,-1.1000000000000014,19.399999999999864,0.40000000000000036,1,24
0,0,-1,-1,-1880,-4,-3,0,24,1,-4.5,-300.60000000000014,-0.20000000000000018,-2,0
1,1,1,1,-131,2,2,0,22,-4,-1.5999999999999979,18.399999999999864,-0.20000000000000018,2,-8
1,1,0,1,979,1,4,1,9,0,0.5,190.89999999999986,0.40000000000000036,1,19
1,0,0,1,992,1,-1,0,-21,0,-2.3000000000000007,-51.299999999999955,0,1,3
