blue_wins,first_blood,dragons,heralds,experience,kills,assists,towers_destroyed,wards_placed,wards_destroyed,cs_per_min,gold_per_min,avg_level,elite_monsters,total_jungle_minions_killed
0,1,0,0,-8,3,3,0,13,-4,-0.1999999999999993,64.29999999999995,-0.20000000000000018,0,-19
0,0,-1,-1,-1173,0,3,-1,0,0,-6.600000000000001,-290.79999999999995,-0.20000000000000018,-2,-9
0,0,1,0,-1033,-4,-10,0,0,-3,-1.6999999999999993,-117.20000000000005,-0.39999999999999947,1,18
1,0,1,0,101,2,4,0,-18,-5,0.3999999999999986,69.80000000000018,0,1,-17
0,0,-1,0,-800,-8,-8,0,1,2,5.199999999999999,-261.5,-0.1999999999999993,-1,-6
0,0,-1,-1,-771,0,3,0,1,1,-5.100000000000001,-197.9000000000001,0,-2,8
1,1,1,0,-1574,-1,1,0,-3,-1,-2.6999999999999993,-154.79999999999995,0,1,-4
0,1,-1,0,-1585,0,1,0,5,1,1.5,33.100000000000136,-0.6000000000000005,-1,-23
1,1,1,0,1659,6,10,0,6,0,-0.1999999999999993,327.4000000000001,0.6000000000000005,1,3
0,0,0,1,-1141,-5,-10,0,-6,0,-1.8999999999999986,-341.39999999999986,-0.6000000000000005,1,1
1,1,0,0,-187,0,1,0,-87,2,-1.8000000000000007,-47,-0.20000000000000018,0,3
1,1,-1,0,3378,8,6,0,1,-1,5.300000000000001,522.8,0.7999999999999998,-1,-8
0,0,0,1,-1345,-4,-3,0,26,-11,-1.5,-197.5,0,1,1
1,1,-1,-1,512,1,8,0,2,1,-1.5,88.20000000000005,0.20000000000000018,-2,-3
0,0,0,0,-2773,-4,-4,0,-4,2,-3.099999999999998,-315.5,-0.40000000000000036,0,-8
0,0,-1,0,-2821,-9,-9,0,-2,-2,-0.5999999999999979,-283.5,-0.40000000000000036,-1,-2
0,0,-1,0,-567,-2,-7,0,1,-1,0.6999999999999993,-125.40000000000009,0,-1,-4
0,0,1,1,1283,1,1,0,63,1,1.8000000000000007,40.59999999999991,-0.20000000000000018,2,3
